,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
threshold,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
TP,1434.0,1923.0,2162.0,2216.0,2426.0,2490.0,2494.0,2597.0,2601.0,2661.0,2622.0,2747.0,2787.0,2752.0,2791.0,2709.0,2799.0,2800.0,2842.0,2761.0
FP,3469.0,3230.0,3048.0,2537.0,2531.0,2347.0,2089.0,2082.0,1917.0,1900.0,1766.0,1816.0,1801.0,1708.0,1726.0,1573.0,1670.0,1635.0,1653.0,1510.0
TN,90230.0,90469.0,90651.0,91162.0,91168.0,91352.0,91610.0,91617.0,91782.0,91799.0,91933.0,91883.0,91898.0,91991.0,91973.0,92126.0,92029.0,92064.0,92046.0,92189.0
FN,4867.0,4378.0,4139.0,4085.0,3875.0,3811.0,3807.0,3704.0,3700.0,3640.0,3679.0,3554.0,3514.0,3549.0,3510.0,3592.0,3502.0,3501.0,3459.0,3540.0
F1,0.25598000714030705,0.3357778941854374,0.3756406915124663,0.40094083589650803,0.4309824125066619,0.4471179745017059,0.4582873943403161,0.4730418943533698,0.4808207782604677,0.489965015650893,0.4905978108335672,0.5057069219440353,0.5118927357884103,0.5114766285661184,0.5159918654095027,0.5119531323821223,0.5197771587743732,0.5216095380029806,0.526491293071508,0.5223231176693152
Recall,0.2275829233455007,0.30518965243612123,0.34312013966037136,0.35169020790350736,0.3850182510712585,0.39517536898904937,0.3958101888589113,0.4121568005078559,0.4127916203777178,0.4223139184256468,0.41612442469449296,0.43596254562767817,0.4423107443262974,0.4367560704650055,0.4429455641961593,0.4299317568639898,0.4442152039358832,0.4443739089033487,0.4510395175368989,0.43818441517219486
Precision,0.2924739955129513,0.37318067145352224,0.4149712092130518,0.4662318535661688,0.4894089166834779,0.5147818896009924,0.5441850316386646,0.5550331267364822,0.5756972111553785,0.5834246875685157,0.597538742023701,0.6020162174008328,0.6074542284219704,0.6170403587443947,0.6178879787469559,0.6326482951891639,0.6263146117699709,0.6313416009019166,0.6322580645161291,0.6464528213533131
Fallout,0.03702280707371477,0.03447208614819795,0.03252969615470816,0.02707606271144836,0.02701202787649815,0.02504829293802496,0.0222947950351658,0.02222008772772388,0.020459129766593028,0.02027769773423409,0.018847586420346,0.01938121004493111,0.019221122957555577,0.01822858301582728,0.01842068752067792,0.016787799229447484,0.0178230290611426,0.01744949252393302,0.017641597028783658,0.01611543346247025
Accuracy,0.91664,0.92392,0.9281299999999999,0.93378,0.93594,0.93842,0.94104,0.94214,0.94383,0.9446,0.94555,0.9463,0.94685,0.94743,0.94764,0.94835,0.9482799999999999,0.94864,0.94888,0.9495
