,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
threshold,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
TP,3350.0,3832.0,3335.0,4047.0,4402.0,3585.0,3517.0,3872.0,4295.0,4012.0,3921.0,3946.0,4219.0,4038.0,4515.0,3635.0,4033.0,3437.0,4286.0,3982.0
FP,1669.0,1961.0,1342.0,1934.0,2411.0,1362.0,1257.0,1565.0,2083.0,1755.0,1611.0,1685.0,2004.0,1790.0,2520.0,1371.0,1870.0,1273.0,2289.0,1818.0
TN,92030.0,91738.0,92357.0,91765.0,91288.0,92337.0,92442.0,92134.0,91616.0,91944.0,92088.0,92014.0,91695.0,91909.0,91179.0,92328.0,91829.0,92426.0,91410.0,91881.0
FN,2951.0,2469.0,2966.0,2254.0,1899.0,2716.0,2784.0,2429.0,2006.0,2289.0,2380.0,2355.0,2082.0,2263.0,1786.0,2666.0,2268.0,2864.0,2015.0,2319.0
F1,0.5918727915194346,0.6337026624772615,0.6075787939515395,0.6590131900341963,0.6713436022571297,0.6374466571834992,0.6351241534988713,0.6597376043619015,0.6774982254120987,0.6648989061982101,0.6627228936026367,0.6614146832048273,0.6737464068987544,0.6658421963888201,0.6771145770845831,0.6429645352436544,0.6609308423467716,0.6242848061029879,0.6657347002174588,0.6581274274853318
Recall,0.5316616410093636,0.6081574353277257,0.5292810664973814,0.6422790033328043,0.6986192667830503,0.5689573083637518,0.558165370576099,0.6145056340263451,0.6816378352642438,0.6367243294715125,0.6222821774321536,0.6262498016187906,0.6695762577368671,0.640850658625615,0.7165529281066497,0.5768925567370259,0.6400571337882875,0.5454689731788605,0.6802094905570545,0.631963180447548
Precision,0.6674636381749353,0.6614880027619541,0.7130639298695746,0.6766427018893162,0.6461177161309262,0.7246816252274105,0.7366987850858818,0.7121574397645759,0.6734085920351207,0.6956823305011272,0.7087852494577006,0.7007636299058781,0.6779688253254057,0.6928620452985587,0.6417910447761194,0.7261286456252497,0.6832119261392512,0.729723991507431,0.6518631178707225,0.6865517241379311
Fallout,0.01781235658865089,0.02092871855622792,0.014322458083864287,0.02064056179895196,0.02573133117749389,0.014535907533698331,0.013415297922069606,0.01670241944951387,0.022230760200215586,0.01873018922293728,0.01719335318413217,0.017983116148518132,0.021387634873371114,0.019103725760146854,0.026894630679089426,0.01463195978612365,0.019957523559483024,0.013586057481936841,0.024429289533506232,0.019402554989914514
Accuracy,0.9538,0.9557,0.95692,0.95812,0.9569,0.95922,0.9595899999999999,0.96006,0.95911,0.9595600000000001,0.96009,0.9596,0.95914,0.95947,0.95694,0.95963,0.95862,0.95863,0.95696,0.95863
