,epoch_12.1,epoch_12.1.1,epoch_12.1.1.1,epoch_12.1.1.1.1,epoch_12.1.1.1.1.1,epoch_12.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1.1.1,epoch_12
threshold,0.003,0.01,0.03,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.96
TP,6180.0,6053.0,5867.0,5434.0,4967.0,4526.0,4046.0,3550.0,2943.0,2296.0,1580.0,813.0,292.0
FP,38186.0,23781.0,14469.0,7690.0,4880.0,3483.0,2496.0,1805.0,1233.0,753.0,397.0,150.0,46.0
TN,55513.0,69918.0,79230.0,86009.0,88819.0,90216.0,91203.0,91894.0,92466.0,92946.0,93302.0,93549.0,93653.0
FN,121.0,248.0,434.0,867.0,1334.0,1775.0,2255.0,2751.0,3358.0,4005.0,4721.0,5488.0,6009.0
F1,0.2439457635147137,0.3350214473502145,0.4405150730187333,0.5594851994851995,0.6151845429774585,0.6325646401118099,0.6300708557190687,0.6091283459162663,0.5618020425694378,0.4911229946524064,0.3817347185310461,0.22384361233480174,0.08796505497815936
Recall,0.9807966989366768,0.9606411680685606,0.9311220441199808,0.8624027932074274,0.7882875734010475,0.7182986827487701,0.6421202983653388,0.56340263450246,0.4670687192509125,0.3643866053007459,0.250753848595461,0.1290271385494366,0.04634185049992065
Precision,0.13929585718793672,0.20288932090903,0.2885031471282455,0.4140505943309967,0.5044175891134356,0.5651142464727182,0.6184653011311525,0.6629318394024276,0.7047413793103449,0.7530337815677272,0.7991906929691451,0.8442367601246106,0.863905325443787
Fallout,0.4075390345681384,0.2538020683251689,0.15442000448243845,0.08207131346118955,0.052081665759506506,0.0371722216885986,0.026638491339288573,0.019263812847522384,0.013159158582268756,0.00803637178625172,0.0042369715792057545,0.001600870873755323,0.0004909337346182991
Accuracy,0.61693,0.75971,0.8509699999999999,0.91443,0.93786,0.94742,0.95249,0.95444,0.95409,0.95242,0.94882,0.94362,0.9394499999999999
