,epoch_9,epoch_9.1,epoch_9.1.1,epoch_9.1.1.1,epoch_9.1.1.1.1,epoch_9.1.1.1.1.1,epoch_9.1.1.1.1.1.1,epoch_9.1.1.1.1.1.1.1,epoch_9.1.1.1.1.1.1.1.1,epoch_9.1.1.1.1.1.1.1.1.1,epoch_9.1.1.1.1.1.1.1.1.1.1,epoch_9.1.1.1.1.1.1.1.1.1.1.1,epoch_9
threshold,0.003,0.01,0.03,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.96
TP,6233.0,6128.0,5947.0,5626.0,5292.0,5048.0,4748.0,4295.0,3760.0,2907.0,1556.0,284.0,0.0
FP,36862.0,20216.0,12060.0,6972.0,4640.0,3645.0,2896.0,2083.0,1455.0,850.0,311.0,23.0,0.0
TN,56837.0,73483.0,81639.0,86727.0,89059.0,90054.0,90803.0,91616.0,92244.0,92849.0,93388.0,93676.0,93699.0
FN,68.0,173.0,354.0,675.0,1009.0,1253.0,1553.0,2006.0,2541.0,3394.0,4745.0,6017.0,6301.0
F1,0.2523686128431452,0.3754326849440956,0.4893039328616093,0.5953754166887137,0.6520051746442432,0.6733360010670935,0.6809609178917174,0.6774982254120987,0.6530045154567559,0.5780473255120302,0.3809990205680705,0.08595641646489104,0.0
Recall,0.9892080622123472,0.9725440406284716,0.9438184415172196,0.8928741469607999,0.8398666878273291,0.8011426757657515,0.7535311855261071,0.6816378352642438,0.596730677670211,0.4613553404221552,0.2469449293762895,0.0450722107601968,0.0
Precision,0.14463394825385775,0.23261463710901914,0.3302604542677848,0.4465788220352437,0.5328231977446637,0.5806971126193489,0.6211407639979069,0.6734085920351207,0.7209971236816874,0.7737556561085973,0.8334226031065881,0.9250814332247556,-1.0
Fallout,0.3934086809891248,0.2157547038922507,0.12871001824992795,0.07440847821214741,0.04952027236149799,0.03890116223225434,0.030907480335969437,0.022230760200215586,0.015528447475426631,0.00907160161794683,0.003319138944919369,0.0002454668673091496,0.0
Accuracy,0.6307,0.7961100000000001,0.8758600000000001,0.92353,0.94351,0.95102,0.95551,0.95911,0.96004,0.9575600000000001,0.94944,0.9396,0.93699
